OrderStatusID,OrderStatus,StatusDescription,IsFinalStatus,DisplayOrder,IsActive
1,Pending,Order has been placed and is awaiting confirmation,No,1,Yes
2,Confirmed,Order has been confirmed by the system,No,2,Yes
3,Processing,Order is being prepared for shipment,No,3,Yes
4,Packed,Order has been packed and is ready for dispatch,No,4,Yes
5,Shipped,Order has been handed over to the delivery partner,No,5,Yes
6,Out for Delivery,Order is out for delivery,No,6,Yes
7,Delivered,Order has been successfully delivered,Yes,7,Yes
8,Cancelled,Order has been cancelled,Yes,8,Yes
9,Returned,Customer has returned the order,Yes,9,Yes
10,Refunded,Refund has been processed successfully,Yes,10,Yes
11,Failed,Order could not be processed due to payment or system failure,Yes,11,Yes
12,On Hold,Order is temporarily on hold pending verification,No,12,Yes
