StoreID,CityID,ManagerName,StoreName,StoreType,ContactNumber,OpeningDate,IsActive,Email
ST0001,C080,Oscar Sachdeva,RetailSphere Ludhiana ST0001,Physical Store,9135347432,2020-11-15,Yes,st0001@retailsphere.com
ST0002,C046,Chaman Sehgal,RetailSphere Ranchi ST0002,Physical Store,9248809274,2018-03-20,Yes,st0002@retailsphere.com
ST0003,C021,Joshua Hari,RetailSphere Raipur ST0003,Physical Store,9634732599,2024-10-02,Yes,st0003@retailsphere.com
ST0004,C073,Garima Chanda,RetailSphere Aizawl ST0004,Physical Store,9857639653,2017-01-15,Yes,st0004@retailsphere.com
ST0005,C084,Jagvi Doctor,RetailSphere Chandigarh (Punjab Capital) ST0005,Physical Store,9415950873,2026-05-04,Yes,st0005@retailsphere.com
ST0006,C096,Warinder Bhardwaj,RetailSphere Hyderabad ST0006,Physical Store,9445134104,2025-06-26,Yes,st0006@retailsphere.com
ST0007,C053,Liam Nori,RetailSphere Mangaluru ST0007,Warehouse,9772903726,2023-03-21,Yes,st0007@retailsphere.com
ST0008,C021,Amol Sama,RetailSphere Raipur ST0008,Warehouse,9797683966,2024-07-23,Yes,st0008@retailsphere.com
ST0009,C102,Manan Bhardwaj,RetailSphere Lucknow ST0009,Physical Store,9501158446,2022-10-02,Yes,st0009@retailsphere.com
ST0010,C097,Manthan Tandon,RetailSphere Warangal ST0010,Physical Store,9947553097,2022-10-31,Yes,st0010@retailsphere.com
ST0011,C024,Garima Trivedi,RetailSphere Korba ST0011,Physical Store,9208980189,2025-10-27,Yes,st0011@retailsphere.com
ST0012,C079,Panini Gokhale,RetailSphere Puri ST0012,Physical Store,9249945145,2026-02-14,Yes,st0012@retailsphere.com
ST0013,C089,Jalsa Nagi,RetailSphere Ajmer ST0013,Warehouse,9513955858,2018-01-06,Yes,st0013@retailsphere.com
ST0014,C036,Tanvi Ratti,RetailSphere Gurugram ST0014,Warehouse,9657223244,2019-07-25,Yes,st0014@retailsphere.com
ST0015,C064,Raghav Borra,RetailSphere Gwalior ST0015,Physical Store,9387061775,2023-10-25,Yes,st0015@retailsphere.com
ST0016,C117,Yashawini Mall,RetailSphere New Delhi ST0016,Physical Store,9514668151,2017-10-18,Yes,st0016@retailsphere.com
ST0017,C070,Naksh Dora,RetailSphere Thane ST0017,Physical Store,9296108234,2025-09-06,Yes,st0017@retailsphere.com
ST0018,C109,Anita Kata,RetailSphere Haldwani ST0018,Distribution Center,9422760506,2025-03-31,Yes,st0018@retailsphere.com
ST0019,C001,Irya Zacharia,RetailSphere Visakhapatnam ST0019,Physical Store,9820875348,2020-08-11,Yes,st0019@retailsphere.com
ST0020,C122,Nachiket Dhingra,RetailSphere Chandigarh ST0020,Physical Store,9848980660,2019-02-12,Yes,st0020@retailsphere.com
ST0021,C111,Champak Karan,RetailSphere Nainital ST0021,Physical Store,9416370432,2016-09-22,Yes,st0021@retailsphere.com
ST0022,C018,Pavani Borah,RetailSphere Muzaffarpur ST0022,Physical Store,9512106634,2022-12-15,Yes,st0022@retailsphere.com
