OrderItemID,OrderID,LineNumber,ProductID,Quantity,UnitPrice,DiscountPercent
OI00000001,ORD0000001,1,P00009,2,5489,5
OI00000002,ORD0000002,1,P00877,1,43,0
OI00000003,ORD0000003,1,P04777,2,87806,15
OI00000004,ORD0000003,2,P00184,2,129,0
OI00000005,ORD0000003,3,P03105,4,113642,5
OI00000006,ORD0000004,1,P02347,1,602,15
OI00000007,ORD0000004,2,P04880,1,1954,0
OI00000008,ORD0000004,3,P03992,3,1944,25
OI00000009,ORD0000004,4,P03794,1,11597,0
OI00000010,ORD0000005,1,P00264,3,13082,5
OI00000011,ORD0000006,1,P02285,3,3115,5
OI00000012,ORD0000006,2,P02290,3,141317,5
OI00000013,ORD0000007,1,P04809,4,1018,0
OI00000014,ORD0000007,2,P01866,1,1764,10
OI00000015,ORD0000008,1,P02998,2,839,0
OI00000016,ORD0000009,1,P03283,3,366,5
OI00000017,ORD0000010,1,P02179,4,1559,5
OI00000018,ORD0000010,2,P00737,1,13443,10
OI00000019,ORD0000011,1,P02588,1,955,0
OI00000020,ORD0000011,2,P04822,3,7009,0
OI00000021,ORD0000012,1,P04018,1,1920,0
OI00000022,ORD0000012,2,P00980,4,4247,10
OI00000023,ORD0000013,1,P02946,3,4617,0
OI00000024,ORD0000013,2,P03365,1,690,0
OI00000025,ORD0000013,3,P03286,2,1282,0
OI00000026,ORD0000013,4,P02727,2,75497,0
OI00000027,ORD0000014,1,P03046,4,713,15
OI00000028,ORD0000014,2,P03434,5,139246,0
OI00000029,ORD0000015,1,P00096,1,91995,10
OI00000030,ORD0000015,2,P01439,1,23405,15
OI00000031,ORD0000016,1,P01028,3,1311,0
OI00000032,ORD0000017,1,P00333,2,619,10
OI00000033,ORD0000017,2,P03479,1,1538,0
OI00000034,ORD0000018,1,P04923,5,753,5
OI00000035,ORD0000019,1,P03588,2,109206,0
OI00000036,ORD0000020,1,P00993,2,2960,15
OI00000037,ORD0000020,2,P03423,1,324,0
