CityID,City,RegionID,Tier,IsCapital,MarketType
C001,Visakhapatnam,1,Tier-1,No,Metro
C002,Vijayawada,1,Tier-1,No,Metro
C003,Guntur,1,Tier-2,No,Urban
C004,Tirupati,1,Tier-2,No,Urban
C005,Kakinada,1,Tier-2,No,Urban
C006,Itanagar,2,Tier-2,Yes,Urban
C007,Naharlagun,2,Tier-2,No,Urban
C008,Pasighat,2,Tier-3,No,Semi-Urban
C009,Tawang,2,Tier-3,No,Semi-Urban
C010,Ziro,2,Tier-3,No,Semi-Urban
C011,Guwahati,3,Tier-1,No,Metro
C012,Dispur,3,Tier-2,Yes,Urban
C013,Silchar,3,Tier-2,No,Urban
C014,Dibrugarh,3,Tier-2,No,Urban
C015,Jorhat,3,Tier-2,No,Urban
C016,Patna,4,Tier-1,Yes,Metro
C017,Gaya,4,Tier-2,No,Urban
C018,Muzaffarpur,4,Tier-2,No,Urban
C019,Bhagalpur,4,Tier-2,No,Urban
C020,Darbhanga,4,Tier-2,No,Urban
C021,Raipur,5,Tier-1,Yes,Metro
C022,Bhilai,5,Tier-2,No,Urban
C023,Bilaspur,5,Tier-2,No,Urban
C024,Korba,5,Tier-2,No,Urban
C025,Jagdalpur,5,Tier-3,No,Semi-Urban
C026,Panaji,6,Tier-2,Yes,Urban
C027,Margao,6,Tier-2,No,Urban
C028,Vasco da Gama,6,Tier-2,No,Urban
C029,Mapusa,6,Tier-3,No,Semi-Urban
C030,Ponda,6,Tier-3,No,Semi-Urban
C031,Ahmedabad,7,Tier-1,No,Metro
C032,Surat,7,Tier-1,No,Metro
C033,Vadodara,7,Tier-1,No,Metro
C034,Rajkot,7,Tier-2,No,Urban
C035,Gandhinagar,7,Tier-2,Yes,Urban
C036,Gurugram,8,Tier-1,No,Metro
C037,Faridabad,8,Tier-1,No,Metro
C038,Panipat,8,Tier-2,No,Urban
C039,Ambala,8,Tier-2,No,Urban
C040,Chandigarh (Haryana Capital),8,Tier-2,Yes,Urban
C041,Shimla,9,Tier-2,Yes,Urban
C042,Dharamshala,9,Tier-2,No,Urban
C043,Solan,9,Tier-3,No,Semi-Urban
C044,Mandi,9,Tier-3,No,Semi-Urban
C045,Kullu,9,Tier-3,No,Semi-Urban
C046,Ranchi,10,Tier-1,Yes,Metro
C047,Jamshedpur,10,Tier-1,No,Metro
C048,Dhanbad,10,Tier-2,No,Urban
C049,Bokaro,10,Tier-2,No,Urban
C050,Hazaribagh,10,Tier-3,No,Semi-Urban
C051,Bengaluru,11,Tier-1,Yes,Metro
C052,Mysuru,11,Tier-2,No,Urban
C053,Mangaluru,11,Tier-2,No,Urban
C054,Hubballi,11,Tier-2,No,Urban
C055,Belagavi,11,Tier-2,No,Urban
C056,Thiruvananthapuram,12,Tier-1,Yes,Metro
C057,Kochi,12,Tier-1,No,Metro
C058,Kozhikode,12,Tier-2,No,Urban
C059,Thrissur,12,Tier-2,No,Urban
C060,Kollam,12,Tier-2,No,Urban
C061,Bhopal,13,Tier-1,Yes,Metro
C062,Indore,13,Tier-1,No,Metro
C063,Jabalpur,13,Tier-2,No,Urban
C064,Gwalior,13,Tier-2,No,Urban
C065,Ujjain,13,Tier-2,No,Urban
C066,Mumbai,14,Tier-1,Yes,Metro
C067,Pune,14,Tier-1,No,Metro
C068,Nagpur,14,Tier-1,No,Metro
C069,Nashik,14,Tier-2,No,Urban
C070,Thane,14,Tier-1,No,Metro
