PaymentStatusID,PaymentStatus,StatusDescription,IsFinalStatus,DisplayOrder,IsActive
1,Pending,Payment has been initiated but not yet processed,No,1,Yes
2,Authorized,Payment has been authorized by the payment gateway,No,2,Yes
3,Processing,Payment is currently being processed,No,3,Yes
4,Successful,Payment completed successfully,Yes,4,Yes
5,Failed,Payment failed due to an error or insufficient funds,Yes,5,Yes
6,Cancelled,Payment was cancelled by the customer or system,Yes,6,Yes
7,Refund Initiated,Refund process has started,No,7,Yes
8,Refunded,Payment has been fully refunded,Yes,8,Yes
9,Partially Refunded,A portion of the payment has been refunded,Yes,9,Yes
10,Chargeback,Payment has been disputed and reversed by the bank,Yes,10,Yes
11,Expired,Payment session expired before completion,Yes,11,Yes
12,Verification Pending,Payment is awaiting verification,No,12,Yes
