ShipmentStatusID,ShipmentStatus,StatusDescription,IsFinalStatus,DisplayOrder,IsActive
1,Pending,Shipment is waiting to be processed,No,1,Yes
2,Packed,Items have been packed and are ready for dispatch,No,2,Yes
3,Dispatched,Shipment has left the warehouse,No,3,Yes
4,In Transit,Shipment is on the way to the destination,No,4,Yes
5,Out for Delivery,Shipment is out for delivery,No,5,Yes
6,Delivered,Shipment has been successfully delivered,Yes,6,Yes
7,Delivery Attempted,Delivery was attempted but unsuccessful,No,7,Yes
8,Delayed,Shipment is delayed due to operational issues,No,8,Yes
9,Returned to Origin,Shipment has been returned to the warehouse,Yes,9,Yes
10,Lost,Shipment has been reported as lost,Yes,10,Yes
11,Damaged,Shipment was damaged during transit,Yes,11,Yes
12,Cancelled,Shipment was cancelled before dispatch,Yes,12,Yes
