DateId,Date,Day,DayName,DayOfWeek,WeekOfYear,Month,MonthName,Quarter,Year,IsWeekend,FinancialYear
20150101,2015-01-01,1,Thursday,4,1,1,January,Q1,2015,No,FY2014-15
20150102,2015-01-02,2,Friday,5,1,1,January,Q1,2015,No,FY2014-15
20150103,2015-01-03,3,Saturday,6,1,1,January,Q1,2015,Yes,FY2014-15
20150104,2015-01-04,4,Sunday,7,1,1,January,Q1,2015,Yes,FY2014-15
20150105,2015-01-05,5,Monday,1,2,1,January,Q1,2015,No,FY2014-15
20150106,2015-01-06,6,Tuesday,2,2,1,January,Q1,2015,No,FY2014-15
20150107,2015-01-07,7,Wednesday,3,2,1,January,Q1,2015,No,FY2014-15
20150108,2015-01-08,8,Thursday,4,2,1,January,Q1,2015,No,FY2014-15
20150109,2015-01-09,9,Friday,5,2,1,January,Q1,2015,No,FY2014-15
20150110,2015-01-10,10,Saturday,6,2,1,January,Q1,2015,Yes,FY2014-15
20150111,2015-01-11,11,Sunday,7,2,1,January,Q1,2015,Yes,FY2014-15
20150112,2015-01-12,12,Monday,1,3,1,January,Q1,2015,No,FY2014-15
20150113,2015-01-13,13,Tuesday,2,3,1,January,Q1,2015,No,FY2014-15
20150114,2015-01-14,14,Wednesday,3,3,1,January,Q1,2015,No,FY2014-15
20150115,2015-01-15,15,Thursday,4,3,1,January,Q1,2015,No,FY2014-15
20150116,2015-01-16,16,Friday,5,3,1,January,Q1,2015,No,FY2014-15
20150117,2015-01-17,17,Saturday,6,3,1,January,Q1,2015,Yes,FY2014-15
20150118,2015-01-18,18,Sunday,7,3,1,January,Q1,2015,Yes,FY2014-15
20150119,2015-01-19,19,Monday,1,4,1,January,Q1,2015,No,FY2014-15
20150120,2015-01-20,20,Tuesday,2,4,1,January,Q1,2015,No,FY2014-15
20150121,2015-01-21,21,Wednesday,3,4,1,January,Q1,2015,No,FY2014-15
20150122,2015-01-22,22,Thursday,4,4,1,January,Q1,2015,No,FY2014-15
20150123,2015-01-23,23,Friday,5,4,1,January,Q1,2015,No,FY2014-15
20150124,2015-01-24,24,Saturday,6,4,1,January,Q1,2015,Yes,FY2014-15
20150125,2015-01-25,25,Sunday,7,4,1,January,Q1,2015,Yes,FY2014-15
20150126,2015-01-26,26,Monday,1,5,1,January,Q1,2015,No,FY2014-15
20150127,2015-01-27,27,Tuesday,2,5,1,January,Q1,2015,No,FY2014-15
20150128,2015-01-28,28,Wednesday,3,5,1,January,Q1,2015,No,FY2014-15
20150129,2015-01-29,29,Thursday,4,5,1,January,Q1,2015,No,FY2014-15
20150130,2015-01-30,30,Friday,5,5,1,January,Q1,2015,No,FY2014-15
20150131,2015-01-31,31,Saturday,6,5,1,January,Q1,2015,Yes,FY2014-15
20150201,2015-02-01,1,Sunday,7,5,2,February,Q1,2015,Yes,FY2014-15
20150202,2015-02-02,2,Monday,1,6,2,February,Q1,2015,No,FY2014-15
20150203,2015-02-03,3,Tuesday,2,6,2,February,Q1,2015,No,FY2014-15
20150204,2015-02-04,4,Wednesday,3,6,2,February,Q1,2015,No,FY2014-15
20150205,2015-02-05,5,Thursday,4,6,2,February,Q1,2015,No,FY2014-15
20150206,2015-02-06,6,Friday,5,6,2,February,Q1,2015,No,FY2014-15
20150207,2015-02-07,7,Saturday,6,6,2,February,Q1,2015,Yes,FY2014-15
20150208,2015-02-08,8,Sunday,7,6,2,February,Q1,2015,Yes,FY2014-15
20150209,2015-02-09,9,Monday,1,7,2,February,Q1,2015,No,FY2014-15
20150210,2015-02-10,10,Tuesday,2,7,2,February,Q1,2015,No,FY2014-15
20150211,2015-02-11,11,Wednesday,3,7,2,February,Q1,2015,No,FY2014-15
20150212,2015-02-12,12,Thursday,4,7,2,February,Q1,2015,No,FY2014-15
20150213,2015-02-13,13,Friday,5,7,2,February,Q1,2015,No,FY2014-15
20150214,2015-02-14,14,Saturday,6,7,2,February,Q1,2015,Yes,FY2014-15
20150215,2015-02-15,15,Sunday,7,7,2,February,Q1,2015,Yes,FY2014-15
20150216,2015-02-16,16,Monday,1,8,2,February,Q1,2015,No,FY2014-15
20150217,2015-02-17,17,Tuesday,2,8,2,February,Q1,2015,No,FY2014-15
20150218,2015-02-18,18,Wednesday,3,8,2,February,Q1,2015,No,FY2014-15
20150219,2015-02-19,19,Thursday,4,8,2,February,Q1,2015,No,FY2014-15
20150220,2015-02-20,20,Friday,5,8,2,February,Q1,2015,No,FY2014-15
20150221,2015-02-21,21,Saturday,6,8,2,February,Q1,2015,Yes,FY2014-15
20150222,2015-02-22,22,Sunday,7,8,2,February,Q1,2015,Yes,FY2014-15
20150223,2015-02-23,23,Monday,1,9,2,February,Q1,2015,No,FY2014-15
20150224,2015-02-24,24,Tuesday,2,9,2,February,Q1,2015,No,FY2014-15
20150225,2015-02-25,25,Wednesday,3,9,2,February,Q1,2015,No,FY2014-15
20150226,2015-02-26,26,Thursday,4,9,2,February,Q1,2015,No,FY2014-15
20150227,2015-02-27,27,Friday,5,9,2,February,Q1,2015,No,FY2014-15
20150228,2015-02-28,28,Saturday,6,9,2,February,Q1,2015,Yes,FY2014-15
20150301,2015-03-01,1,Sunday,7,9,3,March,Q1,2015,Yes,FY2014-15
20150302,2015-03-02,2,Monday,1,10,3,March,Q1,2015,No,FY2014-15
20150303,2015-03-03,3,Tuesday,2,10,3,March,Q1,2015,No,FY2014-15
20150304,2015-03-04,4,Wednesday,3,10,3,March,Q1,2015,No,FY2014-15
20150305,2015-03-05,5,Thursday,4,10,3,March,Q1,2015,No,FY2014-15
20150306,2015-03-06,6,Friday,5,10,3,March,Q1,2015,No,FY2014-15
20150307,2015-03-07,7,Saturday,6,10,3,March,Q1,2015,Yes,FY2014-15
20150308,2015-03-08,8,Sunday,7,10,3,March,Q1,2015,Yes,FY2014-15
20150309,2015-03-09,9,Monday,1,11,3,March,Q1,2015,No,FY2014-15
20150310,2015-03-10,10,Tuesday,2,11,3,March,Q1,2015,No,FY2014-15
20150311,2015-03-11,11,Wednesday,3,11,3,March,Q1,2015,No,FY2014-15
20150312,2015-03-12,12,Thursday,4,11,3,March,Q1,2015,No,FY2014-15
20150313,2015-03-13,13,Friday,5,11,3,March,Q1,2015,No,FY2014-15
20150314,2015-03-14,14,Saturday,6,11,3,March,Q1,2015,Yes,FY2014-15
20150315,2015-03-15,15,Sunday,7,11,3,March,Q1,2015,Yes,FY2014-15
20150316,2015-03-16,16,Monday,1,12,3,March,Q1,2015,No,FY2014-15
20150317,2015-03-17,17,Tuesday,2,12,3,March,Q1,2015,No,FY2014-15
20150318,2015-03-18,18,Wednesday,3,12,3,March,Q1,2015,No,FY2014-15
20150319,2015-03-19,19,Thursday,4,12,3,March,Q1,2015,No,FY2014-15
20150320,2015-03-20,20,Friday,5,12,3,March,Q1,2015,No,FY2014-15
20150321,2015-03-21,21,Saturday,6,12,3,March,Q1,2015,Yes,FY2014-15
20150322,2015-03-22,22,Sunday,7,12,3,March,Q1,2015,Yes,FY2014-15
20150323,2015-03-23,23,Monday,1,13,3,March,Q1,2015,No,FY2014-15
20150324,2015-03-24,24,Tuesday,2,13,3,March,Q1,2015,No,FY2014-15
20150325,2015-03-25,25,Wednesday,3,13,3,March,Q1,2015,No,FY2014-15
20150326,2015-03-26,26,Thursday,4,13,3,March,Q1,2015,No,FY2014-15
20150327,2015-03-27,27,Friday,5,13,3,March,Q1,2015,No,FY2014-15
20150328,2015-03-28,28,Saturday,6,13,3,March,Q1,2015,Yes,FY2014-15
20150329,2015-03-29,29,Sunday,7,13,3,March,Q1,2015,Yes,FY2014-15
20150330,2015-03-30,30,Monday,1,14,3,March,Q1,2015,No,FY2014-15
20150331,2015-03-31,31,Tuesday,2,14,3,March,Q1,2015,No,FY2014-15
20150401,2015-04-01,1,Wednesday,3,14,4,April,Q2,2015,No,FY2015-16
20150402,2015-04-02,2,Thursday,4,14,4,April,Q2,2015,No,FY2015-16
20150403,2015-04-03,3,Friday,5,14,4,April,Q2,2015,No,FY2015-16
20150404,2015-04-04,4,Saturday,6,14,4,April,Q2,2015,Yes,FY2015-16
20150405,2015-04-05,5,Sunday,7,14,4,April,Q2,2015,Yes,FY2015-16
20150406,2015-04-06,6,Monday,1,15,4,April,Q2,2015,No,FY2015-16
20150407,2015-04-07,7,Tuesday,2,15,4,April,Q2,2015,No,FY2015-16
20150408,2015-04-08,8,Wednesday,3,15,4,April,Q2,2015,No,FY2015-16
20150409,2015-04-09,9,Thursday,4,15,4,April,Q2,2015,No,FY2015-16
20150410,2015-04-10,10,Friday,5,15,4,April,Q2,2015,No,FY2015-16
20150411,2015-04-11,11,Saturday,6,15,4,April,Q2,2015,Yes,FY2015-16
20150412,2015-04-12,12,Sunday,7,15,4,April,Q2,2015,Yes,FY2015-16
20150413,2015-04-13,13,Monday,1,16,4,April,Q2,2015,No,FY2015-16
20150414,2015-04-14,14,Tuesday,2,16,4,April,Q2,2015,No,FY2015-16
20150415,2015-04-15,15,Wednesday,3,16,4,April,Q2,2015,No,FY2015-16
20150416,2015-04-16,16,Thursday,4,16,4,April,Q2,2015,No,FY2015-16
20150417,2015-04-17,17,Friday,5,16,4,April,Q2,2015,No,FY2015-16
20150418,2015-04-18,18,Saturday,6,16,4,April,Q2,2015,Yes,FY2015-16
20150419,2015-04-19,19,Sunday,7,16,4,April,Q2,2015,Yes,FY2015-16
20150420,2015-04-20,20,Monday,1,17,4,April,Q2,2015,No,FY2015-16
20150421,2015-04-21,21,Tuesday,2,17,4,April,Q2,2015,No,FY2015-16
20150422,2015-04-22,22,Wednesday,3,17,4,April,Q2,2015,No,FY2015-16
20150423,2015-04-23,23,Thursday,4,17,4,April,Q2,2015,No,FY2015-16
20150424,2015-04-24,24,Friday,5,17,4,April,Q2,2015,No,FY2015-16
20150425,2015-04-25,25,Saturday,6,17,4,April,Q2,2015,Yes,FY2015-16
20150426,2015-04-26,26,Sunday,7,17,4,April,Q2,2015,Yes,FY2015-16
20150427,2015-04-27,27,Monday,1,18,4,April,Q2,2015,No,FY2015-16
