SupplierID,SupplierName,PrimaryCategory,CityID,ContactPerson,Email,PhoneNumber,GSTNumber,RegistrationDate,Rating,IsActive
SUP0001,Acer India - Nizamabad,Electronics,C100,Girindra Sehgal,sup0001@retailsphere.com,9527028345,20YXfqV08759a1Z5,2025-11-28,1,Yes
SUP0002,Allen Solly - Margao,Fashion,C027,Vivaan Mann,sup0002@retailsphere.com,9376213215,15tCzgq35924C1Z5,2014-04-10,3,Yes
SUP0003,Apple India - Mangaluru,Electronics,C053,Anamika Chacko,sup0003@retailsphere.com,9796782082,21nVIWy37703u1Z5,2022-04-06,5,Yes
SUP0004,Apple India - Patna,Electronics,C016,Matthew Shenoy,sup0004@retailsphere.com,9599752033,26aobmX61660k1Z5,2012-09-15,5,Yes
SUP0005,Bata India - Ponda,Fashion,C030,Yashasvi Dasgupta,sup0005@retailsphere.com,9101444717,32IIxRd81017B1Z5,2014-11-12,4,Yes
SUP0006,Apple India - New Delhi,Electronics,C117,Sai Tandon,sup0006@retailsphere.com,9488234535,12fygsb52252u1Z5,2017-10-01,4,Yes
SUP0007,Nestlé India - Bhubaneswar,Grocery,C075,Gavin Chandra,sup0007@retailsphere.com,9626652571,19oLbMr29586K1Z5,2017-12-18,5,Yes
SUP0008,Lenovo India - Thrissur,Electronics,C059,Alka Vohra,sup0008@retailsphere.com,9644125529,27Dhwzd99224n1Z5,2015-11-14,2,Yes
SUP0009,Apple India - Chandigarh (Punjab Capital),Electronics,C084,Madhavi Vyas,sup0009@retailsphere.com,9791331457,31OtyDj84496m1Z5,2015-02-27,4,Yes
SUP0010,Parle - Mysuru,Grocery,C052,Anirudh Rana,sup0010@retailsphere.com,9304758593,38gQZyZ62217M1Z5,2018-08-12,5,Yes
SUP0011,Tata Consumer - Jaipur,Grocery,C085,Jackson Patil,sup0011@retailsphere.com,9829175478,17qGLjt95987C1Z5,2013-07-23,2,Yes
SUP0012,LG Electronics - Haridwar,Electronics,C108,Sanya Pillai,sup0012@retailsphere.com,9218380949,18tdMri60662a1Z5,2016-11-27,4,Yes
SUP0013,Nestlé India - Vasco da Gama,Grocery,C028,Lakshit Tella,sup0013@retailsphere.com,9524867211,19lFetX29589F1Z5,2019-12-06,3,Yes
SUP0014,ITC Foods - Ranchi,Grocery,C046,Garima Malhotra,sup0014@retailsphere.com,9566559114,37pbHfz83279I1Z5,2014-06-03,4,Yes
SUP0015,Coca-Cola India - Kohima,Grocery,C074,Bhavani Patla,sup0015@retailsphere.com,9919190050,11pZNFf64771U1Z5,2017-03-15,4,Yes
SUP0016,Allen Solly - Durgapur,Fashion,C115,Pahal Madan,sup0016@retailsphere.com,9274482605,10SquIt66849l1Z5,2022-03-10,3,Yes
SUP0017,Dell Technologies - Gaya,Electronics,C017,Ekanta Peri,sup0017@retailsphere.com,9564281210,23EJcwa26117Z1Z5,2013-08-12,4,Yes
SUP0018,Adidas India - Dispur,Fashion,C012,Yashodhara Nagarajan,sup0018@retailsphere.com,9987957373,36aGdzI50433P1Z5,2022-02-16,3,Yes
SUP0019,Nestlé India - Khammam,Grocery,C099,Ojas Patla,sup0019@retailsphere.com,9110053404,38MWwRl51221v1Z5,2016-08-11,4,Yes
SUP0020,Apple India - Faridabad,Electronics,C037,Ikshita Natarajan,sup0020@retailsphere.com,9983954965,21pkqBJ50578K1Z5,2012-05-09,5,Yes
SUP0021,Allen Solly - Srinagar,Fashion,C118,Oliver Prakash,sup0021@retailsphere.com,9490595820,21qDqDJ45554W1Z5,2025-02-10,5,Yes
SUP0022,Zara India - Jaipur,Fashion,C085,Veda Gandhi,sup0022@retailsphere.com,9844241661,21IznBe01693I1Z5,2022-01-08,4,Yes
