ReviewID,OrderItemID,Rating,ReviewTitle,ReviewText,ReviewDate
REV0000001,OI00000002,3,Average Product,The product is okay.,2026-06-10
REV0000002,OI00000003,5,Amazing,Very happy with the product.,2017-10-10
REV0000003,OI00000004,4,Good Purchase,Happy with my purchase.,2017-10-07
REV0000004,OI00000007,4,Good Quality,Quality is quite good.,2020-11-04
REV0000005,OI00000010,5,Worth the Money,Completely satisfied with the purchase.,2020-07-20
REV0000006,OI00000013,5,Worth the Money,Completely satisfied with the purchase.,2023-05-13
REV0000007,OI00000017,5,Highly Recommended,Exceeded my expectations.,2020-03-09
REV0000008,OI00000019,4,Very Good,Good quality and works as expected.,2024-06-16
REV0000009,OI00000022,5,Highly Recommended,Exceeded my expectations.,2021-04-27
REV0000010,OI00000023,4,Good Purchase,Happy with my purchase.,2021-12-24
REV0000011,OI00000028,4,Good Purchase,Happy with my purchase.,2022-10-07
REV0000012,OI00000031,5,Amazing,Very happy with the product.,2022-05-16
REV0000013,OI00000035,2,Needs Improvement,There are a few issues.,2021-10-20
REV0000014,OI00000036,5,Worth the Money,Completely satisfied with the purchase.,2017-03-22
REV0000015,OI00000040,2,Not as Expected,Product quality could be improved.,2024-05-18
REV0000016,OI00000041,5,Excellent Product,Excellent quality and highly recommended.,2024-05-18
REV0000017,OI00000042,5,Highly Recommended,Exceeded my expectations.,2021-12-29
REV0000018,OI00000045,5,Worth the Money,Completely satisfied with the purchase.,2023-12-27
REV0000019,OI00000051,4,Very Good,Good quality and works as expected.,2017-02-12
REV0000020,OI00000054,5,Excellent Product,Excellent quality and highly recommended.,2024-04-27
REV0000021,OI00000055,5,Worth the Money,Completely satisfied with the purchase.,2024-05-02
REV0000022,OI00000058,5,Highly Recommended,Exceeded my expectations.,2024-02-17
REV0000023,OI00000062,5,Worth the Money,Completely satisfied with the purchase.,2017-11-19
REV0000024,OI00000063,2,Needs Improvement,There are a few issues.,2024-02-28
REV0000025,OI00000064,3,Decent,"Average quality, nothing special.",2024-02-29
REV0000026,OI00000065,4,Very Good,Good quality and works as expected.,2016-03-16
REV0000027,OI00000067,3,Average Product,The product is okay.,2016-03-12
REV0000028,OI00000069,5,Excellent Product,Excellent quality and highly recommended.,2016-03-14
REV0000029,OI00000074,3,Decent,"Average quality, nothing special.",2015-05-05
REV0000030,OI00000076,5,Highly Recommended,Exceeded my expectations.,2021-11-08
REV0000031,OI00000079,4,Good Quality,Quality is quite good.,2025-01-24
REV0000032,OI00000080,5,Worth the Money,Completely satisfied with the purchase.,2025-01-23
REV0000033,OI00000081,5,Amazing,Very happy with the product.,2025-01-24
REV0000034,OI00000090,4,Good Quality,Quality is quite good.,2023-04-27
REV0000035,OI00000091,4,Satisfied,Nice product for the price.,2026-01-23
REV0000036,OI00000094,5,Excellent Product,Excellent quality and highly recommended.,2023-01-27
REV0000037,OI00000102,3,Decent,"Average quality, nothing special.",2026-07-03
REV0000038,OI00000109,4,Good Quality,Quality is quite good.,2021-03-21
REV0000039,OI00000111,5,Highly Recommended,Exceeded my expectations.,2019-07-21
REV0000040,OI00000114,1,Bad Experience,Would not recommend.,2023-04-16
REV0000041,OI00000116,5,Excellent Product,Excellent quality and highly recommended.,2020-11-04
REV0000042,OI00000120,5,Excellent Product,Excellent quality and highly recommended.,2021-06-28
REV0000043,OI00000124,1,Defective Product,Stopped working very quickly.,2026-01-06
REV0000044,OI00000129,5,Highly Recommended,Exceeded my expectations.,2018-01-19
REV0000045,OI00000132,3,Decent,"Average quality, nothing special.",2020-05-25
REV0000046,OI00000133,5,Worth the Money,Completely satisfied with the purchase.,2023-04-11
REV0000047,OI00000137,3,Could Be Better,Expected slightly better quality.,2025-08-28
REV0000048,OI00000153,5,Highly Recommended,Exceeded my expectations.,2016-05-22
REV0000049,OI00000154,5,Amazing,Very happy with the product.,2016-05-24
REV0000050,OI00000161,3,Average Product,The product is okay.,2021-01-29
REV0000051,OI00000168,3,Average Product,The product is okay.,2024-10-03
REV0000052,OI00000170,4,Very Good,Good quality and works as expected.,2022-05-06
REV0000053,OI00000179,4,Very Good,Good quality and works as expected.,2024-01-13
REV0000054,OI00000180,5,Amazing,Very happy with the product.,2024-01-11
REV0000055,OI00000186,5,Excellent Product,Excellent quality and highly recommended.,2019-04-07
REV0000056,OI00000188,3,Average Product,The product is okay.,2023-08-07
REV0000057,OI00000190,2,Below Average,Not completely satisfied.,2016-07-25
REV0000058,OI00000191,4,Good Purchase,Happy with my purchase.,2016-07-20
REV0000059,OI00000198,4,Very Good,Good quality and works as expected.,2023-03-30
REV0000060,OI00000199,3,Average Product,The product is okay.,2019-07-18
REV0000061,OI00000204,3,Could Be Better,Expected slightly better quality.,2024-01-15
REV0000062,OI00000214,5,Amazing,Very happy with the product.,2025-04-23
REV0000063,OI00000218,4,Good Quality,Quality is quite good.,2025-06-09
REV0000064,OI00000221,5,Worth the Money,Completely satisfied with the purchase.,2021-08-20
REV0000065,OI00000224,4,Satisfied,Nice product for the price.,2020-03-30
REV0000066,OI00000234,5,Excellent Product,Excellent quality and highly recommended.,2024-03-05
REV0000067,OI00000241,3,Could Be Better,Expected slightly better quality.,2018-09-28
REV0000068,OI00000243,4,Very Good,Good quality and works as expected.,2016-09-12
REV0000069,OI00000245,4,Good Purchase,Happy with my purchase.,2016-09-13
REV0000070,OI00000248,5,Excellent Product,Excellent quality and highly recommended.,2015-01-14
