ReturnID,OrderItemID,ReturnReasonID,ReturnDate,ReturnCondition
RET0000001,OI00000025,1,2021-12-21,Sealed
RET0000002,OI00000048,1,2016-02-13,Damaged
RET0000003,OI00000057,15,2024-02-14,Opened
RET0000004,OI00000062,11,2017-11-12,Opened
RET0000005,OI00000063,6,2024-03-02,Sealed
RET0000006,OI00000093,12,2016-05-27,Sealed
RET0000007,OI00000094,11,2023-02-02,Opened
RET0000008,OI00000103,13,2026-07-12,Sealed
RET0000009,OI00000137,7,2025-08-29,Sealed
RET0000010,OI00000143,12,2016-05-21,Opened
RET0000011,OI00000174,8,2016-04-15,Opened
RET0000012,OI00000218,4,2025-06-18,Opened
RET0000013,OI00000225,9,2022-03-08,Defective
RET0000014,OI00000236,15,2017-02-12,Damaged
RET0000015,OI00000244,6,2016-09-16,Opened
RET0000016,OI00000268,3,2015-08-30,Damaged
RET0000017,OI00000293,15,2026-04-16,Opened
RET0000018,OI00000297,3,2017-03-28,Opened
RET0000019,OI00000309,14,2017-06-27,Opened
RET0000020,OI00000339,5,2019-04-24,Damaged
RET0000021,OI00000343,11,2018-07-30,Sealed
RET0000022,OI00000356,17,2017-09-20,Sealed
RET0000023,OI00000370,1,2019-12-02,Defective
RET0000024,OI00000381,9,2023-07-01,Damaged
RET0000025,OI00000396,16,2026-05-19,Opened
RET0000026,OI00000397,3,2025-05-31,Sealed
RET0000027,OI00000403,8,2016-02-28,Opened
RET0000028,OI00000413,2,2020-12-15,Sealed
RET0000029,OI00000447,2,2016-03-15,Opened
RET0000030,OI00000456,17,2022-08-13,Sealed
RET0000031,OI00000461,18,2019-01-15,Opened
RET0000032,OI00000463,15,2021-04-08,Sealed
RET0000033,OI00000471,1,2022-02-13,Damaged
RET0000034,OI00000487,11,2021-06-02,Opened
RET0000035,OI00000501,17,2021-02-01,Sealed
RET0000036,OI00000506,18,2015-11-18,Defective
RET0000037,OI00000594,2,2019-01-31,Sealed
RET0000038,OI00000596,8,2022-05-05,Opened
RET0000039,OI00000624,1,2015-05-12,Opened
RET0000040,OI00000652,11,2021-03-13,Damaged
RET0000041,OI00000664,4,2023-06-05,Sealed
RET0000042,OI00000667,4,2023-06-01,Opened
RET0000043,OI00000680,7,2017-01-30,Opened
RET0000044,OI00000685,1,2023-06-03,Opened
RET0000045,OI00000687,6,2019-03-19,Damaged
RET0000046,OI00000688,6,2019-03-12,Sealed
RET0000047,OI00000692,16,2022-10-27,Damaged
RET0000048,OI00000702,2,2023-06-28,Sealed
RET0000049,OI00000722,16,2024-06-02,Opened
RET0000050,OI00000734,14,2017-11-02,Defective
RET0000051,OI00000748,13,2023-01-01,Defective
RET0000052,OI00000749,16,2025-06-06,Opened
RET0000053,OI00000751,13,2026-03-04,Opened
RET0000054,OI00000766,13,2025-11-03,Opened
RET0000055,OI00000781,8,2018-10-28,Opened
RET0000056,OI00000784,1,2016-01-22,Damaged
RET0000057,OI00000788,18,2022-10-04,Sealed
RET0000058,OI00000795,6,2020-02-03,Defective
RET0000059,OI00000800,13,2015-06-12,Opened
RET0000060,OI00000832,15,2019-09-23,Opened
RET0000061,OI00000834,5,2020-10-09,Damaged
RET0000062,OI00000872,1,2020-02-20,Opened
RET0000063,OI00000914,6,2024-09-03,Opened
RET0000064,OI00000928,2,2023-11-22,Sealed
RET0000065,OI00000940,18,2022-04-12,Sealed
RET0000066,OI00000960,16,2018-07-17,Sealed
RET0000067,OI00000999,1,2016-06-26,Opened
RET0000068,OI00001052,16,2019-07-05,Opened
RET0000069,OI00001069,2,2019-03-12,Opened
RET0000070,OI00001087,7,2017-02-14,Sealed
RET0000071,OI00001092,8,2023-04-27,Sealed
RET0000072,OI00001104,7,2016-08-11,Sealed
RET0000073,OI00001138,3,2018-01-22,Opened
RET0000074,OI00001149,1,2018-11-12,Opened
RET0000075,OI00001177,1,2025-05-04,Damaged
RET0000076,OI00001185,5,2020-11-05,Sealed
RET0000077,OI00001203,11,2020-03-20,Defective
RET0000078,OI00001204,1,2019-03-18,Defective
RET0000079,OI00001222,8,2015-09-13,Sealed
RET0000080,OI00001242,4,2022-01-30,Sealed
RET0000081,OI00001284,18,2018-10-17,Defective
RET0000082,OI00001320,6,2022-04-21,Damaged
RET0000083,OI00001327,4,2022-08-17,Opened
RET0000084,OI00001332,1,2018-03-25,Opened
RET0000085,OI00001335,10,2024-07-26,Sealed
RET0000086,OI00001348,2,2026-07-05,Opened
RET0000087,OI00001359,5,2017-03-05,Defective
RET0000088,OI00001367,9,2017-11-01,Sealed
RET0000089,OI00001371,13,2017-09-16,Damaged
RET0000090,OI00001373,6,2015-02-08,Opened
RET0000091,OI00001404,12,2016-06-28,Opened
RET0000092,OI00001410,9,2024-10-19,Sealed
RET0000093,OI00001449,2,2017-08-13,Opened
RET0000094,OI00001498,13,2017-10-30,Defective
RET0000095,OI00001505,14,2023-07-23,Sealed
RET0000096,OI00001511,6,2023-09-07,Opened
RET0000097,OI00001525,8,2022-04-16,Defective
RET0000098,OI00001539,10,2022-10-01,Opened
RET0000099,OI00001568,6,2018-07-09,Opened
RET0000100,OI00001570,4,2020-07-17,Damaged
RET0000101,OI00001584,12,2023-11-04,Sealed
RET0000102,OI00001585,15,2023-10-26,Damaged
RET0000103,OI00001598,13,2019-02-09,Defective
RET0000104,OI00001607,6,2020-07-24,Damaged
RET0000105,OI00001618,18,2017-11-19,Opened
RET0000106,OI00001620,8,2015-09-09,Sealed
RET0000107,OI00001630,10,2018-02-03,Damaged
RET0000108,OI00001671,18,2015-05-09,Defective
RET0000109,OI00001673,12,2020-11-23,Opened
RET0000110,OI00001677,12,2020-02-22,Defective
RET0000111,OI00001687,13,2020-07-23,Sealed
RET0000112,OI00001696,8,2020-04-02,Defective
RET0000113,OI00001704,7,2025-10-22,Sealed
RET0000114,OI00001710,10,2019-09-08,Sealed
RET0000115,OI00001716,3,2017-04-14,Opened
RET0000116,OI00001746,6,2019-11-03,Opened
RET0000117,OI00001751,12,2024-12-06,Sealed
RET0000118,OI00001760,18,2021-04-24,Damaged
RET0000119,OI00001770,17,2021-07-07,Sealed
RET0000120,OI00001771,2,2021-07-08,Damaged
RET0000121,OI00001797,8,2015-02-20,Defective
RET0000122,OI00001815,9,2021-05-29,Opened
RET0000123,OI00001849,2,2017-02-17,Opened
RET0000124,OI00001857,10,2026-03-20,Defective
RET0000125,OI00001864,17,2016-12-14,Damaged
RET0000126,OI00001874,17,2020-11-17,Damaged
RET0000127,OI00001876,10,2018-10-08,Opened
RET0000128,OI00001880,14,2023-11-13,Opened
RET0000129,OI00001881,2,2015-05-06,Defective
RET0000130,OI00001913,11,2022-02-27,Opened
RET0000131,OI00001933,1,2018-08-10,Damaged
RET0000132,OI00001939,18,2016-02-07,Sealed
RET0000133,OI00001956,10,2016-04-29,Defective
RET0000134,OI00001976,8,2026-03-30,Damaged
RET0000135,OI00001978,5,2015-12-30,Opened
RET0000136,OI00001979,11,2015-12-26,Sealed
RET0000137,OI00001998,8,2017-09-26,Opened
RET0000138,OI00002013,13,2016-01-03,Opened
RET0000139,OI00002014,10,2016-01-06,Sealed
RET0000140,OI00002030,5,2025-11-01,Damaged
RET0000141,OI00002056,7,2016-09-11,Damaged
RET0000142,OI00002061,15,2024-07-03,Opened
RET0000143,OI00002080,11,2018-12-10,Opened
RET0000144,OI00002099,4,2020-06-05,Damaged
RET0000145,OI00002144,9,2022-09-10,Damaged
RET0000146,OI00002145,16,2022-09-22,Opened
RET0000147,OI00002161,1,2020-12-12,Sealed
RET0000148,OI00002175,10,2023-04-30,Sealed
RET0000149,OI00002185,11,2018-05-05,Sealed
RET0000150,OI00002190,2,2017-07-12,Sealed
RET0000151,OI00002203,12,2020-05-02,Opened
RET0000152,OI00002207,4,2015-02-21,Damaged
RET0000153,OI00002235,12,2021-06-04,Damaged
RET0000154,OI00002255,8,2021-04-24,Sealed
RET0000155,OI00002265,12,2025-12-25,Defective
RET0000156,OI00002266,18,2024-06-13,Sealed
RET0000157,OI00002300,2,2016-11-10,Sealed
RET0000158,OI00002307,18,2017-10-02,Sealed
RET0000159,OI00002312,8,2020-04-17,Sealed
RET0000160,OI00002327,6,2021-07-20,Sealed
RET0000161,OI00002331,3,2018-10-17,Opened
RET0000162,OI00002339,2,2018-11-25,Defective
RET0000163,OI00002348,15,2016-05-12,Damaged
RET0000164,OI00002353,18,2015-04-26,Sealed
RET0000165,OI00002367,1,2024-03-22,Damaged
RET0000166,OI00002425,11,2016-06-12,Sealed
RET0000167,OI00002434,8,2024-11-12,Defective
RET0000168,OI00002440,4,2019-08-02,Defective
RET0000169,OI00002442,8,2025-05-18,Sealed
RET0000170,OI00002445,3,2022-02-17,Damaged
RET0000171,OI00002448,14,2025-06-27,Damaged
RET0000172,OI00002459,16,2016-01-23,Opened
RET0000173,OI00002468,1,2021-06-06,Defective
RET0000174,OI00002498,13,2018-07-16,Opened
RET0000175,OI00002592,7,2015-08-03,Defective
RET0000176,OI00002600,12,2016-03-14,Sealed
RET0000177,OI00002619,9,2023-01-27,Damaged
RET0000178,OI00002629,5,2020-09-15,Opened
RET0000179,OI00002636,3,2021-07-15,Defective
RET0000180,OI00002659,8,2016-02-06,Sealed
RET0000181,OI00002675,2,2024-03-13,Opened
RET0000182,OI00002678,13,2021-01-25,Sealed
RET0000183,OI00002709,18,2023-12-22,Opened
RET0000184,OI00002718,13,2018-02-17,Damaged
RET0000185,OI00002736,15,2017-05-26,Opened
RET0000186,OI00002740,1,2019-11-16,Defective
RET0000187,OI00002745,14,2025-12-13,Damaged
RET0000188,OI00002746,14,2015-12-22,Opened
RET0000189,OI00002750,14,2016-01-15,Opened
RET0000190,OI00002759,7,2026-01-09,Damaged
RET0000191,OI00002784,13,2024-06-12,Opened
RET0000192,OI00002792,11,2021-06-18,Damaged
RET0000193,OI00002802,6,2024-04-30,Sealed
RET0000194,OI00002806,11,2018-12-21,Damaged
RET0000195,OI00002815,11,2016-11-15,Opened
RET0000196,OI00002816,18,2016-11-14,Sealed
RET0000197,OI00002861,3,2015-05-19,Opened
RET0000198,OI00002878,4,2018-10-21,Opened
RET0000199,OI00002883,17,2016-01-05,Sealed
RET0000200,OI00002905,14,2023-06-29,Opened
RET0000201,OI00002906,15,2023-07-10,Defective
RET0000202,OI00002964,15,2020-06-20,Sealed
RET0000203,OI00003019,17,2019-10-18,Damaged
RET0000204,OI00003021,17,2016-04-23,Sealed
RET0000205,OI00003036,17,2019-01-04,Opened
RET0000206,OI00003037,2,2021-07-17,Opened
RET0000207,OI00003089,6,2022-09-28,Defective
RET0000208,OI00003093,7,2022-01-11,Opened
RET0000209,OI00003098,4,2020-09-17,Damaged
RET0000210,OI00003117,10,2016-06-23,Opened
RET0000211,OI00003122,10,2025-09-21,Damaged
RET0000212,OI00003125,13,2025-01-25,Defective
RET0000213,OI00003140,5,2015-05-11,Sealed
RET0000214,OI00003182,11,2025-02-17,Opened
RET0000215,OI00003189,16,2017-03-21,Defective
RET0000216,OI00003198,10,2016-12-05,Opened
RET0000217,OI00003227,13,2017-10-29,Opened
RET0000218,OI00003228,18,2017-10-26,Sealed
RET0000219,OI00003247,5,2022-01-15,Damaged
RET0000220,OI00003248,11,2022-01-13,Sealed
RET0000221,OI00003269,18,2019-05-12,Defective
RET0000222,OI00003272,14,2024-11-15,Opened
RET0000223,OI00003278,17,2022-10-20,Damaged
RET0000224,OI00003280,8,2017-08-20,Sealed
