ShipmentID,OrderID,DeliveryPartnerID,ShipmentStatusID,ShipmentDate,EstimatedDeliveryDate,ActualDeliveryDate,TrackingNumber
SHP0000001,ORD0000001,9,1,2026-07-08,2026-07-15,2026-07-14,TRK0000000001
SHP0000002,ORD0000002,5,1,2026-06-02,2026-06-06,2026-06-06,TRK0000000002
SHP0000003,ORD0000003,4,1,2017-10-05,2017-10-12,2017-10-12,TRK0000000003
SHP0000004,ORD0000004,9,1,2020-11-02,2020-11-05,2020-11-07,TRK0000000004
SHP0000005,ORD0000005,2,2,2020-07-18,2020-07-22,,TRK0000000005
SHP0000006,ORD0000006,5,2,2015-09-26,2015-10-02,,TRK0000000006
SHP0000007,ORD0000007,3,2,2023-05-12,2023-05-15,,TRK0000000007
SHP0000008,ORD0000008,6,1,2015-03-17,2015-03-24,2015-03-24,TRK0000000008
SHP0000009,ORD0000009,3,1,2024-07-19,2024-07-23,2024-07-24,TRK0000000009
SHP0000010,ORD0000010,1,1,2020-03-06,2020-03-08,2020-03-07,TRK0000000010
SHP0000011,ORD0000011,5,1,2024-06-09,2024-06-13,2024-06-15,TRK0000000011
SHP0000012,ORD0000012,6,1,2021-04-22,2021-04-27,2021-04-26,TRK0000000012
SHP0000013,ORD0000013,10,1,2021-12-15,2021-12-17,2021-12-18,TRK0000000013
SHP0000014,ORD0000014,5,1,2022-09-29,2022-10-01,2022-10-01,TRK0000000014
SHP0000015,ORD0000015,9,1,2020-11-01,2020-11-06,2020-11-07,TRK0000000015
SHP0000016,ORD0000016,1,1,2022-05-07,2022-05-11,2022-05-11,TRK0000000016
SHP0000017,ORD0000017,5,1,2023-06-04,2023-06-08,2023-06-09,TRK0000000017
SHP0000018,ORD0000018,3,1,2021-07-09,2021-07-11,2021-07-10,TRK0000000018
SHP0000019,ORD0000019,5,1,2021-10-13,2021-10-19,2021-10-20,TRK0000000019
SHP0000020,ORD0000020,9,1,2017-03-15,2017-03-21,2017-03-21,TRK0000000020
SHP0000021,ORD0000021,9,2,2024-11-21,2024-11-25,,TRK0000000021
SHP0000022,ORD0000022,2,1,2024-05-11,2024-05-17,2024-05-16,TRK0000000022
SHP0000023,ORD0000023,9,1,2021-12-26,2021-12-28,2021-12-27,TRK0000000023
SHP0000024,ORD0000024,5,1,2025-03-27,2025-03-31,2025-04-01,TRK0000000024
SHP0000025,ORD0000025,2,1,2023-12-26,2023-12-30,2023-12-29,TRK0000000025
SHP0000026,ORD0000026,1,2,2023-01-26,2023-01-28,,TRK0000000026
SHP0000027,ORD0000027,7,1,2016-02-11,2016-02-16,2016-02-15,TRK0000000027
SHP0000028,ORD0000028,10,1,2020-04-25,2020-04-29,2020-04-29,TRK0000000028
SHP0000029,ORD0000029,1,1,2017-02-07,2017-02-12,2017-02-13,TRK0000000029
SHP0000030,ORD0000030,5,2,2024-04-22,2024-04-25,,TRK0000000030
SHP0000031,ORD0000031,5,2,2024-02-08,2024-02-11,,TRK0000000031
SHP0000032,ORD0000032,4,1,2017-11-11,2017-11-18,2017-11-17,TRK0000000032
SHP0000033,ORD0000033,4,1,2024-02-22,2024-02-29,2024-03-02,TRK0000000033
SHP0000034,ORD0000034,7,1,2016-03-10,2016-03-12,2016-03-14,TRK0000000034
SHP0000035,ORD0000035,7,1,2019-07-28,2019-08-01,2019-08-01,TRK0000000035
SHP0000036,ORD0000036,7,3,2017-09-15,2017-09-21,,TRK0000000036
SHP0000037,ORD0000037,4,1,2015-05-01,2015-05-06,2015-05-05,TRK0000000037
SHP0000038,ORD0000038,8,1,2016-03-29,2016-04-03,2016-04-04,TRK0000000038
SHP0000039,ORD0000039,4,1,2021-11-06,2021-11-13,2021-11-14,TRK0000000039
SHP0000040,ORD0000040,3,1,2025-01-19,2025-01-23,2025-01-23,TRK0000000040
SHP0000041,ORD0000041,6,1,2025-12-03,2025-12-10,2025-12-12,TRK0000000041
SHP0000042,ORD0000042,1,1,2025-09-19,2025-09-22,2025-09-23,TRK0000000042
SHP0000043,ORD0000043,10,1,2021-10-04,2021-10-06,2021-10-06,TRK0000000043
SHP0000044,ORD0000044,4,1,2018-01-30,2018-02-04,2018-02-06,TRK0000000044
SHP0000045,ORD0000045,4,1,2023-04-20,2023-04-26,2023-04-25,TRK0000000045
SHP0000046,ORD0000046,6,1,2026-01-15,2026-01-20,2026-01-21,TRK0000000046
SHP0000047,ORD0000047,4,1,2016-05-17,2016-05-22,2016-05-21,TRK0000000047
SHP0000048,ORD0000048,5,1,2023-01-21,2023-01-24,2023-01-23,TRK0000000048
SHP0000049,ORD0000049,3,1,2021-02-20,2021-02-26,2021-02-28,TRK0000000049
SHP0000050,ORD0000050,5,1,2025-05-29,2025-06-03,2025-06-03,TRK0000000050
SHP0000051,ORD0000051,10,1,2026-06-27,2026-07-04,2026-07-06,TRK0000000051
SHP0000052,ORD0000052,6,3,2022-04-28,2022-05-02,,TRK0000000052
SHP0000053,ORD0000053,3,1,2021-03-20,2021-03-22,2021-03-24,TRK0000000053
SHP0000054,ORD0000054,1,1,2019-07-13,2019-07-17,2019-07-16,TRK0000000054
SHP0000055,ORD0000055,8,1,2024-10-23,2024-10-26,2024-10-26,TRK0000000055
SHP0000056,ORD0000056,3,1,2023-04-13,2023-04-16,2023-04-17,TRK0000000056
SHP0000057,ORD0000057,9,5,2023-09-15,2023-09-19,,TRK0000000057
SHP0000058,ORD0000058,10,2,2020-10-30,2020-11-03,,TRK0000000058
SHP0000059,ORD0000059,4,2,2021-09-12,2021-09-17,,TRK0000000059
